,Event,Date,Winner,Fighter 1,Fighter 2,F1 Knockdown,F2 Knockdown,F1 Stike,F2 Strike,F1 Takedown,F2 Takedown,F1 Submission,F2 Submission,Weightclass,Result,Method,Round,Time
0,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Jared Cannonier,Jared Cannonier,Marvin Vettori,0,0,241,153,4,1,0,0,Middleweight,U-DEC,U-DEC,5,5:00
1,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Arman Tsarukyan,Arman Tsarukyan,Joaquim Silva,0,0,80,23,4,0,0,0,Lightweight,KO/TKO,Punches,3,3:25
2,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Armen Petrosyan,Armen Petrosyan,Christian Leroy Duncan,0,0,89,59,1,0,0,0,Middleweight,U-DEC,U-DEC,3,5:00
3,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Pat Sabatini,Pat Sabatini,Lucas Almeida,0,0,27,2,2,0,1,0,Featherweight,SUB,ArmTriangle,2,1:48
4,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Manuel Torres,Manuel Torres,Nikolas Motta,1,0,13,7,0,0,0,0,Lightweight,KO/TKO,Elbow,1,1:50
5,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Nicolas Dalby,Nicolas Dalby,Muslim Salikhov,0,0,86,57,2,2,0,0,Welterweight,U-DEC,U-DEC,3,5:00
6,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Alessandro Costa,Alessandro Costa,Jimmy Flick,1,0,65,14,0,0,0,0,Flyweight,KO/TKO,Elbows,2,1:03
7,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Kyung Ho Kang,Kyung Ho Kang,Cristian Quinonez,1,0,22,13,1,0,1,0,Bantamweight,SUB,RearNakedChoke,1,2:25
8,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Carlos Hernandez,Carlos Hernandez,Denys Bondar,0,0,102,76,2,2,0,0,Flyweight,U-DEC,U-DEC,3,4:59
9,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Tereza Bleda,Tereza Bleda,Gabriella Fernandes,0,0,57,23,3,0,0,0,Women's Flyweight,U-DEC,U-DEC,3,5:00
10,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",,Dan Argueta,Ronnie Lawrence,0,0,4,1,1,0,2,0,Bantamweight,Overturned,Overturned,1,2:20
11,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Modestas Bukauskas,Modestas Bukauskas,Zac Pauga,0,0,56,67,0,1,0,0,Light Heavyweight,U-DEC,U-DEC,3,5:00
12,UFC 289: Nunes vs. Aldana,"June 10, 2023",Amanda Nunes,Amanda Nunes,Irene Aldana,0,0,142,41,6,0,0,0,Women's Bantamweight,U-DEC,U-DEC,5,5:00
13,UFC 289: Nunes vs. Aldana,"June 10, 2023",Charles Oliveira,Charles Oliveira,Beneil Dariush,1,0,26,12,0,0,0,0,Lightweight,KO/TKO,Punches,1,4:10
14,UFC 289: Nunes vs. Aldana,"June 10, 2023",Mike Malott,Mike Malott,Adam Fugitt,1,0,19,9,2,0,1,0,Welterweight,SUB,GuillotineChoke,2,1:06
15,UFC 289: Nunes vs. Aldana,"June 10, 2023",Dan Ige,Dan Ige,Nate Landwehr,1,0,88,74,0,0,0,0,Featherweight,U-DEC,U-DEC,3,5:00
16,UFC 289: Nunes vs. Aldana,"June 10, 2023",Marc-Andre Barriault,Marc-Andre Barriault,Eryk Anders,1,0,95,83,0,1,0,0,Middleweight,U-DEC,U-DEC,3,5:00
17,UFC 289: Nunes vs. Aldana,"June 10, 2023",,Nassourdine Imavov,Chris Curtis,0,0,57,26,3,0,1,0,Middleweight,CNC,CNC,2,3:04
18,UFC 289: Nunes vs. Aldana,"June 10, 2023",Jasmine Jasudavicius,Jasmine Jasudavicius,Miranda Maverick,0,0,67,63,1,0,0,0,Women's Flyweight,U-DEC,U-DEC,3,5:00
19,UFC 289: Nunes vs. Aldana,"June 10, 2023",Aiemann Zahabi,Aiemann Zahabi,Aoriqileng,1,0,5,5,0,0,0,0,Bantamweight,KO/TKO,Punch,1,1:04
20,UFC 289: Nunes vs. Aldana,"June 10, 2023",Kyle Nelson,Kyle Nelson,Blake Bilder,0,0,59,45,0,0,0,0,Featherweight,U-DEC,U-DEC,3,5:00
21,UFC 289: Nunes vs. Aldana,"June 10, 2023",Steve Erceg,Steve Erceg,David Dvorak,0,0,54,53,3,1,1,0,Flyweight,U-DEC,U-DEC,3,5:00
22,UFC 289: Nunes vs. Aldana,"June 10, 2023",Diana Belbita,Diana Belbita,Maria Oliveira,0,0,106,64,1,2,0,0,Women's Strawweight,U-DEC,U-DEC,3,5:00
23,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Amir Albazi,Amir Albazi,Kai Kara-France,0,0,43,99,1,2,1,0,Flyweight,S-DEC,S-DEC,5,5:00
24,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Alex Caceres,Alex Caceres,Daniel Pineda,0,0,60,27,1,3,0,1,Featherweight,U-DEC,U-DEC,3,5:00
25,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Jim Miller,Jim Miller,Jesse Butler,1,0,3,1,0,0,0,0,Lightweight,KO/TKO,Punch,1,0:23
26,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Tim Elliott,Tim Elliott,Victor Altamirano,0,0,28,19,6,1,0,0,Flyweight,U-DEC,U-DEC,3,5:00
27,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Karine Silva,Karine Silva,Ketlen Souza,0,0,3,0,1,0,1,0,Women's Flyweight,SUB,Other-Lock,1,1:45
28,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos,Abubakar Nurmagomedov,0,0,42,29,0,1,0,0,Welterweight,S-DEC,S-DEC,3,5:00
29,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Daniel Santos,Daniel Santos,Johnny Munoz,0,0,50,18,3,1,0,1,Bantamweight,U-DEC,U-DEC,3,5:00
30,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Don'Tale Mayes,Don'Tale Mayes,Andrei Arlovski,1,0,25,24,0,0,0,0,Heavyweight,KO/TKO,Punch,2,3:17
31,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",John Castaneda,John Castaneda,Muin Gafurov,1,0,40,61,3,0,0,0,Bantamweight,U-DEC,U-DEC,3,5:00
32,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Muhammad Naimov,Muhammad Naimov,Jamie Mullarkey,1,0,28,39,0,3,0,0,Lightweight,KO/TKO,Punch,2,2:59
33,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Elise Reed,Elise Reed,Jinh Yu Frey,0,0,53,28,0,3,0,0,Women's Strawweight,U-DEC,U-DEC,3,5:00
34,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Da'Mon Blackshear,Da'Mon Blackshear,Luan Lacerda,0,0,66,28,1,1,0,1,Bantamweight,KO/TKO,Punches,2,3:54
35,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Philipe Lins,Philipe Lins,Maxim Grishin,0,0,45,41,1,0,0,0,Light Heavyweight,U-DEC,U-DEC,3,5:00
36,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Mackenzie Dern,Mackenzie Dern,Angela Hill,1,0,126,66,3,0,0,0,Women's Strawweight,U-DEC,U-DEC,5,5:00
37,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Anthony Hernandez,Anthony Hernandez,Edmen Shahbazyan,0,0,63,30,6,1,4,1,Middleweight,KO/TKO,Elbows,3,1:01
38,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Loopy Godinez,Loopy Godinez,Emily Ducote,0,0,132,112,1,0,0,0,Catch Weight,U-DEC,U-DEC,3,5:00
39,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Joaquin Buckley,Joaquin Buckley,Andre Fialho,1,0,26,22,2,0,0,0,Welterweight,KO/TKO,OKick,2,4:15
40,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Diego Ferreira,Diego Ferreira,Michael Johnson,1,0,30,32,0,0,0,0,Lightweight,KO/TKO,Punch,2,1:50
41,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Viacheslav Borshchev,Viacheslav Borshchev,Maheshate,3,0,85,32,0,0,0,0,Lightweight,KO/TKO,Punch,2,2:37
42,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Karolina Kowalkiewicz,Karolina Kowalkiewicz,Vanessa Demopoulos,0,0,139,68,0,0,0,0,Women's Strawweight,U-DEC,U-DEC,3,5:00
43,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Gilbert Urbina,Gilbert Urbina,Orion Cosce,1,0,51,16,2,0,1,0,Welterweight,KO/TKO,OKick,2,2:55
44,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Rodrigo Nascimento,Rodrigo Nascimento,Ilir Latifi,0,0,68,49,0,2,0,0,Heavyweight,S-DEC,S-DEC,3,5:00
45,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Chase Hooper,Chase Hooper,Nick Fiore,0,0,149,51,1,4,1,0,Lightweight,U-DEC,U-DEC,3,5:00
46,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Natalia Silva,Natalia Silva,Victoria Leonardo,1,0,20,7,0,0,0,0,Women's Flyweight,KO/TKO,Punch,1,2:58
47,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Themba Gorimbo,Themba Gorimbo,Takashi Sato,1,0,33,30,3,2,0,0,Welterweight,U-DEC,U-DEC,3,5:00
48,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Jailton Almeida,Jailton Almeida,Jairzinho Rozenstruik,0,0,4,0,1,0,1,0,Heavyweight,SUB,RearNakedChoke,1,3:43
49,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Johnny Walker,Johnny Walker,Anthony Smith,0,0,92,38,1,1,0,0,Light Heavyweight,U-DEC,U-DEC,3,5:00
50,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Ian Garry,Ian Garry,Daniel Rodriguez,1,0,23,7,0,0,0,0,Welterweight,KO/TKO,OKick,1,2:57
51,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Carlos Ulberg,Carlos Ulberg,Ihor Potieria,1,0,13,5,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,2:09
52,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Alex Morono,Alex Morono,Tim Means,0,0,33,40,0,2,1,0,Welterweight,SUB,GuillotineChoke,2,2:09
53,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Matt Brown,Matt Brown,Court McGee,1,0,11,8,0,1,0,0,Welterweight,KO/TKO,Punch,1,4:09
54,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Karl Williams,Karl Williams,Chase Sherman,0,0,70,54,1,0,0,0,Heavyweight,U-DEC,U-DEC,3,5:00
55,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Douglas Silva de Andrade,Douglas Silva de Andrade,Cody Stamann,0,1,61,54,0,1,0,0,Catch Weight,U-DEC,U-DEC,3,5:00
56,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Mandy Bohm,Mandy Bohm,Ji Yeon Kim,0,0,17,10,2,0,1,1,Women's Flyweight,S-DEC,S-DEC,3,1:55
57,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Bryan Battle,Bryan Battle,Gabe Green,1,0,3,6,0,0,0,0,Welterweight,KO/TKO,Punch,1,0:14
58,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Tainara Lisboa,Tainara Lisboa,Jessica-Rose Clark,0,0,42,26,1,1,1,0,Women's Bantamweight,SUB,RearNakedChoke,3,4:20
59,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Aljamain Sterling,Aljamain Sterling,Henry Cejudo,0,0,135,99,4,3,0,0,Bantamweight,S-DEC,S-DEC,5,5:00
60,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Belal Muhammad,Belal Muhammad,Gilbert Burns,0,0,132,81,0,0,0,0,Welterweight,U-DEC,U-DEC,5,5:00
61,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Yan Xiaonan,Yan Xiaonan,Jessica Andrade,1,0,26,12,0,0,0,0,Women's Strawweight,KO/TKO,Punch,1,2:20
62,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Movsar Evloev,Movsar Evloev,Diego Lopes,0,0,88,37,4,0,0,4,Featherweight,U-DEC,U-DEC,3,5:00
63,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Charles Jourdain,Charles Jourdain,Kron Gracie,0,0,80,32,0,0,0,0,Featherweight,U-DEC,U-DEC,3,5:00
64,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Matt Frevola,Matt Frevola,Drew Dober,1,0,35,20,0,0,0,0,Lightweight,KO/TKO,Punch,1,4:08
65,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Kennedy Nzechukwu,Kennedy Nzechukwu,Devin Clark,0,0,62,36,0,1,1,0,Light Heavyweight,SUB,GuillotineChoke,2,2:28
66,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Khaos Williams,Khaos Williams,Rolando Bedoya,0,0,130,149,0,0,0,0,Welterweight,S-DEC,S-DEC,3,5:00
67,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Virna Jandiroba,Virna Jandiroba,Marina Rodriguez,0,0,27,33,3,0,0,0,Women's Strawweight,U-DEC,U-DEC,3,5:00
68,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Parker Porter,Parker Porter,Braxton Smith,0,0,25,14,0,0,0,0,Heavyweight,KO/TKO,Punches,1,2:10
69,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Ikram Aliskerov,Ikram Aliskerov,Phil Hawes,1,0,20,17,0,0,0,0,Middleweight,KO/TKO,Punches,1,2:10
70,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Claudio Ribeiro,Claudio Ribeiro,Joseph Holmes,1,0,37,17,1,1,0,0,Middleweight,KO/TKO,Punches,2,3:21
71,UFC Fight Night: Song vs. Simon,"April 29, 2023",Song Yadong,Song Yadong,Ricky Simon,2,0,105,60,0,2,0,0,Bantamweight,KO/TKO,Punch,5,1:10
72,UFC Fight Night: Song vs. Simon,"April 29, 2023",Caio Borralho,Caio Borralho,Michal Oleksiejczuk,0,0,34,30,3,0,1,0,Middleweight,SUB,RearNakedChoke,2,2:49
73,UFC Fight Night: Song vs. Simon,"April 29, 2023",Rodolfo Vieira,Rodolfo Vieira,Cody Brundage,0,1,10,20,1,0,2,1,Middleweight,SUB,ArmTriangle,2,1:28
74,UFC Fight Night: Song vs. Simon,"April 29, 2023",Fernando Padilla,Fernando Padilla,Julian Erosa,1,0,20,15,0,0,0,0,Featherweight,KO/TKO,Punches,1,1:41
75,UFC Fight Night: Song vs. Simon,"April 29, 2023",Marcos Rogerio de Lima,Marcos Rogerio de Lima,Waldo Cortes-Acosta,0,0,59,82,3,0,0,0,Heavyweight,U-DEC,U-DEC,3,5:00
76,UFC Fight Night: Song vs. Simon,"April 29, 2023",Trey Waters,Trey Waters,Josh Quinlan,0,0,104,50,1,1,0,0,Welterweight,U-DEC,U-DEC,3,5:00
77,UFC Fight Night: Song vs. Simon,"April 29, 2023",Martin Buday,Martin Buday,Jake Collier,0,0,98,94,0,0,0,0,Heavyweight,U-DEC,U-DEC,3,5:00
78,UFC Fight Night: Song vs. Simon,"April 29, 2023",Cody Durden,Cody Durden,Charles Johnson,0,0,56,52,11,0,0,1,Flyweight,U-DEC,U-DEC,3,5:00
79,UFC Fight Night: Song vs. Simon,"April 29, 2023",Irina Alekseeva,Irina Alekseeva,Stephanie Egger,0,0,18,9,0,0,1,0,Women's Bantamweight,SUB,Kneebar,1,2:11
80,UFC Fight Night: Song vs. Simon,"April 29, 2023",Marcus McGhee,Marcus McGhee,Journey Newson,1,0,25,13,0,0,1,0,Catch Weight,SUB,RearNakedChoke,2,2:03
81,UFC Fight Night: Song vs. Simon,"April 29, 2023",Jamey-Lyn Horth,Jamey-Lyn Horth,Hailey Cowan,0,0,76,63,0,2,0,0,Women's Bantamweight,U-DEC,U-DEC,3,5:00
82,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",Sergei Pavlovich,Sergei Pavlovich,Curtis Blaydes,1,0,36,14,0,0,0,0,Heavyweight,KO/TKO,Punches,1,3:08
83,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",Bruno Silva,Bruno Silva,Brad Tavares,1,0,23,15,0,0,0,0,Middleweight,KO/TKO,Punch,1,3:35
84,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",,Bobby Green,Jared Gordon,0,0,23,17,0,0,0,0,Lightweight,CNC,CNC,1,4:35
85,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",Iasmin Lucindo,Iasmin Lucindo,Brogan Walker,0,0,53,29,4,0,0,0,Women's Flyweight,U-DEC,U-DEC,3,5:00
86,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",Jeremiah Wells,Jeremiah Wells,Matthew Semelsberger,0,2,36,20,6,0,0,0,Welterweight,S-DEC,S-DEC,3,5:00
87,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",Christos Giagos,Christos Giagos,Ricky Glenn,1,0,9,2,0,0,0,0,Lightweight,KO/TKO,Punch,1,1:35
88,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",Montel Jackson,Montel Jackson,Rani Yahya,1,0,9,7,0,0,0,0,Bantamweight,KO/TKO,Punch,1,3:42
89,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",Norma Dumont,Norma Dumont,Karol Rosa,0,1,35,33,1,0,0,0,Women's Featherweight,U-DEC,U-DEC,3,5:00
90,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",Mohammed Usman,Mohammed Usman,Junior Tafa,0,0,7,22,2,0,0,0,Heavyweight,U-DEC,U-DEC,3,5:00
91,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",William Gomis,William Gomis,Francis Marshall,0,0,27,15,0,2,0,2,Featherweight,S-DEC,S-DEC,3,5:00
92,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",Brady Hiestand,Brady Hiestand,Batgerel Danaa,0,1,45,41,3,1,0,0,Bantamweight,KO/TKO,Punches,3,4:21
93,UFC Fight Night: Holloway vs. Allen,"April 15, 2023",Max Holloway,Max Holloway,Arnold Allen,0,0,147,76,0,0,0,0,Featherweight,U-DEC,U-DEC,5,5:00
94,UFC Fight Night: Holloway vs. Allen,"April 15, 2023",Edson Barboza,Edson Barboza,Billy Quarantillo,1,0,21,19,0,0,0,0,Featherweight,KO/TKO,OKnee,1,2:37
95,UFC Fight Night: Holloway vs. Allen,"April 15, 2023",Azamat Murzakanov,Azamat Murzakanov,Dustin Jacoby,1,0,67,64,1,1,0,0,Light Heavyweight,U-DEC,U-DEC,3,5:00
96,UFC Fight Night: Holloway vs. Allen,"April 15, 2023",Ion Cutelaba,Ion Cutelaba,Tanner Boser,0,0,30,5,1,0,0,0,Light Heavyweight,KO/TKO,Punches,1,2:05
97,UFC Fight Night: Holloway vs. Allen,"April 15, 2023",Pedro Munhoz,Pedro Munhoz,Chris Gutierrez,1,0,60,77,0,0,0,0,Bantamweight,U-DEC,U-DEC,3,5:00
98,UFC Fight Night: Holloway vs. Allen,"April 15, 2023",Rafa Garcia,Rafa Garcia,Clay Guida,0,0,141,63,0,0,0,0,Lightweight,U-DEC,U-DEC,3,5:00
99,UFC Fight Night: Holloway vs. Allen,"April 15, 2023",Bill Algeo,Bill Algeo,TJ Brown,1,0,64,46,1,1,1,0,Featherweight,SUB,RearNakedChoke,2,1:40
100,UFC Fight Night: Holloway vs. Allen,"April 15, 2023",Brandon Royval,Brandon Royval,Matheus Nicolau,1,0,13,2,0,0,0,0,Flyweight,KO/TKO,OKnee,1,2:09
101,UFC Fight Night: Holloway vs. Allen,"April 15, 2023",Zak Cummings,Zak Cummings,Ed Herman,3,0,100,54,0,0,0,0,Light Heavyweight,KO/TKO,Punches,3,4:13
102,UFC Fight Night: Holloway vs. Allen,"April 15, 2023",Gillian Robertson,Gillian Robertson,Piera Rodriguez,0,0,26,12,2,1,1,0,Women's Strawweight,SUB,Armbar,2,4:21
103,UFC Fight Night: Holloway vs. Allen,"April 15, 2023",Daniel Zellhuber,Daniel Zellhuber,Lando Vannata,1,0,78,51,0,0,0,0,Lightweight,U-DEC,U-DEC,3,5:00
104,UFC Fight Night: Holloway vs. Allen,"April 15, 2023",Denise Gomes,Denise Gomes,Bruna Brasil,1,0,54,15,3,0,0,0,Women's Strawweight,KO/TKO,Punches,2,2:42
105,UFC Fight Night: Holloway vs. Allen,"April 15, 2023",Gaston Bolanos,Gaston Bolanos,Aaron Phillips,0,0,63,17,0,3,0,1,Bantamweight,U-DEC,U-DEC,3,5:00
106,UFC Fight Night: Holloway vs. Allen,"April 15, 2023",Joselyne Edwards,Joselyne Edwards,Lucie Pudilova,0,0,56,39,0,2,0,0,Women's Bantamweight,S-DEC,S-DEC,3,5:00
107,UFC 287: Pereira vs. Adesanya 2,"April 08, 2023",Israel Adesanya,Israel Adesanya,Alex Pereira,1,0,41,49,0,0,0,0,Middleweight,KO/TKO,Punch,2,4:21
108,UFC 287: Pereira vs. Adesanya 2,"April 08, 2023",Gilbert Burns,Gilbert Burns,Jorge Masvidal,0,0,42,39,4,0,0,0,Welterweight,U-DEC,U-DEC,3,5:00
109,UFC 287: Pereira vs. Adesanya 2,"April 08, 2023",Rob Font,Rob Font,Adrian Yanez,1,0,33,25,0,0,0,0,Bantamweight,KO/TKO,Punch,1,2:57
110,UFC 287: Pereira vs. Adesanya 2,"April 08, 2023",Kevin Holland,Kevin Holland,Santiago Ponzinibbio,1,0,66,44,0,0,0,0,Welterweight,KO/TKO,Punch,3,3:16
111,UFC 287: Pereira vs. Adesanya 2,"April 08, 2023",Christian Rodriguez,Christian Rodriguez,Raul Rosas Jr.,0,0,29,2,1,3,0,1,Bantamweight,U-DEC,U-DEC,3,5:00
112,UFC 287: Pereira vs. Adesanya 2,"April 08, 2023",Kelvin Gastelum,Kelvin Gastelum,Chris Curtis,0,0,83,70,0,0,0,0,Middleweight,U-DEC,U-DEC,3,5:00
113,UFC 287: Pereira vs. Adesanya 2,"April 08, 2023",Luana Pinheiro,Luana Pinheiro,Michelle Waterson-Gomez,0,0,44,61,0,1,0,0,Women's Strawweight,S-DEC,S-DEC,3,5:00
114,UFC 287: Pereira vs. Adesanya 2,"April 08, 2023",Joe Pyfer,Joe Pyfer,Gerald Meerschaert,0,0,14,10,0,0,0,0,Middleweight,KO/TKO,Punches,1,3:15
115,UFC 287: Pereira vs. Adesanya 2,"April 08, 2023",Loopy Godinez,Loopy Godinez,Cynthia Calvillo,0,0,87,104,0,1,0,0,Women's Strawweight,S-DEC,S-DEC,3,5:00
116,UFC 287: Pereira vs. Adesanya 2,"April 08, 2023",Ignacio Bahamondes,Ignacio Bahamondes,Trey Ogden,0,0,99,42,0,0,0,0,Catch Weight,U-DEC,U-DEC,3,5:00
117,UFC 287: Pereira vs. Adesanya 2,"April 08, 2023",Steve Garcia,Steve Garcia,Shayilan Nuerdanbieke,1,1,17,18,0,1,0,0,Featherweight,KO/TKO,Punch,2,0:36
118,UFC 287: Pereira vs. Adesanya 2,"April 08, 2023",Sam Hughes,Sam Hughes,Jaqueline Amorim,0,0,46,12,1,2,0,3,Women's Strawweight,U-DEC,U-DEC,3,5:00
119,UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Cory Sandhagen,Cory Sandhagen,Marlon Vera,0,0,128,58,3,0,0,1,Bantamweight,S-DEC,S-DEC,5,5:00
120,UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Holly Holm,Holly Holm,Yana Santos,0,0,32,21,4,0,0,0,Women's Bantamweight,U-DEC,U-DEC,3,5:00
121,UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Nate Landwehr,Nate Landwehr,Austin Lingo,0,0,64,48,1,0,1,0,Featherweight,SUB,RearNakedChoke,2,4:11
122,UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Maycee Barber,Maycee Barber,Andrea Lee,0,0,48,39,2,5,0,0,Women's Flyweight,S-DEC,S-DEC,3,5:00
123,UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Albert Duraev,Albert Duraev,Chidi Njokuani,0,0,45,40,2,0,0,0,Middleweight,S-DEC,S-DEC,3,5:00
124,UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Daniel Pineda,Daniel Pineda,Tucker Lutz,1,0,24,28,1,0,2,0,Featherweight,SUB,GuillotineChoke,2,2:50
125,UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Lucas Alexander,Lucas Alexander,Steven Peterson,1,0,85,26,0,0,0,0,Featherweight,U-DEC,U-DEC,3,5:00
126,UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Trevin Giles,Trevin Giles,Preston Parsons,0,0,55,42,0,3,0,3,Welterweight,S-DEC,S-DEC,3,5:00
127,UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",CJ Vergara,CJ Vergara,Daniel Lacerda,0,2,83,48,0,1,1,2,Flyweight,KO/TKO,Elbows,2,4:04
128,UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Victor Altamirano,Victor Altamirano,Vinicius Salvador,0,0,62,47,3,1,0,0,Flyweight,U-DEC,U-DEC,3,5:00
129,UFC 286: Edwards vs. Usman 3,"March 18, 2023",Leon Edwards,Leon Edwards,Kamaru Usman,0,0,120,87,0,4,0,0,Welterweight,M-DEC,M-DEC,5,5:00
130,UFC 286: Edwards vs. Usman 3,"March 18, 2023",Justin Gaethje,Justin Gaethje,Rafael Fiziev,0,0,103,97,1,0,0,0,Lightweight,M-DEC,M-DEC,3,5:00
131,UFC 286: Edwards vs. Usman 3,"March 18, 2023",Gunnar Nelson,Gunnar Nelson,Bryan Barberena,0,0,10,7,1,0,1,0,Welterweight,SUB,Armbar,1,4:51
132,UFC 286: Edwards vs. Usman 3,"March 18, 2023",Jennifer Maia,Jennifer Maia,Casey O'Neill,0,0,145,137,0,0,0,0,Women's Flyweight,U-DEC,U-DEC,3,5:00
133,UFC 286: Edwards vs. Usman 3,"March 18, 2023",Marvin Vettori,Marvin Vettori,Roman Dolidze,0,0,106,71,0,0,0,0,Middleweight,U-DEC,U-DEC,3,5:00
134,UFC 286: Edwards vs. Usman 3,"March 18, 2023",Jack Shore,Jack Shore,Makwan Amirkhani,0,0,28,10,1,1,1,0,Featherweight,SUB,RearNakedChoke,2,4:27
135,UFC 286: Edwards vs. Usman 3,"March 18, 2023",Chris Duncan,Chris Duncan,Omar Morales,0,0,53,47,5,0,0,0,Lightweight,S-DEC,S-DEC,3,5:00
136,UFC 286: Edwards vs. Usman 3,"March 18, 2023",Yanal Ashmouz,Yanal Ashmouz,Sam Patterson,0,0,15,2,1,0,0,0,Lightweight,KO/TKO,Punches,1,1:15
137,UFC 286: Edwards vs. Usman 3,"March 18, 2023",Muhammad Mokaev,Muhammad Mokaev,Jafel Filho,0,0,16,9,4,0,2,2,Flyweight,SUB,NeckCrank,3,4:32
138,UFC 286: Edwards vs. Usman 3,"March 18, 2023",Lerone Murphy,Lerone Murphy,Gabriel Santos,0,0,93,69,1,5,0,0,Featherweight,S-DEC,S-DEC,3,5:00
